id,codigo,nombre,departamento,municipio,distrito,direccion,latitud,longitud,telefonos,programa,modernizacion,fase,control,fila_origen_sheet,sincronizado_en,creado_en
dc8f20a2-948f-444c-8e48-0277e2eb82a7,76047,"CENTRO ESCOLAR CASERÍO LA TRILLADERA, CANTÓN LA CONCEPCIÓN",CABAÑAS,CABAÑAS OESTE,TEJUTEPEQUE,,,,"{72405506,72405506,72405506}",,f,,f,537,2026-08-10 09:21:57.7678+00,2026-07-24 22:35:57.666164+00
c6bac5f6-a248-4cbd-a551-50c08f19fddd,76048,CENTRO ESCOLAR CANTÓN SAN FRANCISCO ECHEVERRÍA,CABAÑAS,CABAÑAS OESTE,TEJUTEPEQUE,,,,"{79867461,79867461,79867461}",,f,,f,538,2026-08-10 09:21:57.7678+00,2026-07-24 22:35:57.666164+00
af278787-eb86-4f3f-890b-ed83160cf32f,76049,CENTRO ESCOLAR CANTÓN SANTA OLAYA,CABAÑAS,CABAÑAS OESTE,TEJUTEPEQUE,,,,"{78612931,78612931,78612931}",,f,,f,539,2026-08-10 09:21:57.7678+00,2026-07-24 22:35:57.666164+00
ed87c8ba-7f4b-4fa2-a514-2bc27cbe8b33,76050,CENTRO ESCOLAR CANTÓN SANTA RITA,CABAÑAS,CABAÑAS OESTE,TEJUTEPEQUE,,,,"{72502758,72502758,72502758}",,f,,f,540,2026-08-10 09:21:57.7678+00,2026-07-24 22:35:57.666164+00
3db77a56-848a-40ff-bd83-696778c79f85,86428,"CENTRO ESCOLAR CASERÍO BUENOS AIRES, CANTÓN LA CONCEPCIÓN",CABAÑAS,CABAÑAS OESTE,TEJUTEPEQUE,,,,"{79864375,79864375,79864375}",,f,,f,541,2026-08-10 09:21:57.7678+00,2026-07-24 22:35:57.666164+00
c833263c-4cad-4bf9-a31f-3920beb82454,10031,COMPLEJO EDUCATIVO DOCTOR ARTURO ROMERO,AHUACHAPÁN,AHUACHAPÁN CENTRO,AHUACHAPÁN,,,,"{72491851,72491851,72491851}",,f,,f,25,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
73b57e90-7d6a-4f1e-8104-13b43fa6fdb4,10032,CENTRO ESCOLAR CANTON SANTA ROSA ACACALCO,AHUACHAPÁN,AHUACHAPÁN CENTRO,AHUACHAPÁN,,,,"{72489640,72489640,72489640}",,f,,f,26,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
3d967339-6559-4f68-b945-67d99f986121,10033,COMPLEJO EDUCATIVO HACIENDA LA LABOR,AHUACHAPÁN,AHUACHAPÁN CENTRO,AHUACHAPÁN,,,,"{72263871,72263871,72263871}",,f,,f,27,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
3e0b1bc7-f0d3-4802-a246-8b862fe5398a,10037,"CENTRO ESCOLAR CASERIO LAS CHINITAS, C. LLANO DE LA LAGUNA",AHUACHAPÁN,AHUACHAPÁN CENTRO,AHUACHAPÁN,,,,"{78604650,78604650,78604650}",,f,,f,28,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
11767bf1-da02-48f3-a6fe-c31d4d657654,10038,CENTRO ESCOLAR COLONIA SANTA MARIA,AHUACHAPÁN,AHUACHAPÁN CENTRO,AHUACHAPÁN,,,,"{72497637,72497637,72497637}",,f,,f,29,2026-08-10 09:21:57.238686+00,2026-07-24 22:35:57.316281+00
